timestamp,signal,confidence,buy_probability,sell_probability,no_trade_probability,trade_recommended
2025-07-17 02:18:28.530,SELL,1.0,1.1327702113985262e-19,1.0,4.883917736389938e-25,True
2025-07-17 02:18:49.960,SELL,1.0,1.4836628121829347e-19,1.0,7.5490522572048515e-25,True
2025-07-17 02:19:00.275,SELL,1.0,1.4098304801640414e-19,1.0,7.097199633227177e-25,True
2025-07-17 02:19:34.295,SELL,1.0,1.2840129485734874e-19,1.0,5.570847458857014e-25,True
2025-07-17 02:19:39.898,SELL,1.0,1.4859625035328029e-19,1.0,7.8230182261693855e-25,True
2025-07-17 02:20:12.954,SELL,1.0,8.932758977877091e-20,1.0,3.0925280193881454e-25,True
2025-07-17 02:20:34.653,SELL,1.0,1.0637574989174614e-19,1.0,4.87788492261726e-25,True
2025-07-17 02:20:54.650,SELL,1.0,9.713373845587359e-20,1.0,3.9265692073224605e-25,True
2025-07-17 02:21:03.045,SELL,1.0,6.071011972711106e-20,1.0,1.720850514414028e-25,True
2025-07-17 02:21:38.647,SELL,1.0,7.662426045671583e-20,1.0,2.725058120808732e-25,True
2025-07-17 02:22:08.084,SELL,1.0,7.258736057351563e-20,1.0,2.7986876859926996e-25,True
2025-07-17 02:22:16.292,SELL,1.0,8.513428813631284e-20,1.0,3.5690226858926617e-25,True
2025-07-17 02:22:34.112,SELL,1.0,1.019888427495109e-19,1.0,4.880080914162169e-25,True
2025-07-17 02:22:43.776,SELL,1.0,9.758236761590996e-20,1.0,4.169317238558037e-25,True
2025-07-17 02:23:15.529,SELL,1.0,8.149270303773056e-20,1.0,3.2795203479188327e-25,True
2025-07-17 02:23:25.471,SELL,1.0,1.0950406942023926e-19,1.0,5.19811018810202e-25,True
2025-07-17 02:23:32.582,SELL,1.0,1.4177098924864919e-19,1.0,7.635416256070382e-25,True
2025-07-17 02:23:43.681,SELL,1.0,1.5280115837370825e-19,1.0,7.782982549153288e-25,True
2025-07-17 02:23:57.550,SELL,1.0,1.3064541000981097e-19,1.0,5.995691457592184e-25,True
2025-07-17 02:24:06.339,SELL,1.0,1.8089673561998397e-19,1.0,9.489606203660688e-25,True
2025-07-17 02:24:19.556,SELL,1.0,1.3987257096874878e-19,1.0,5.733494307257416e-25,True
2025-07-17 02:24:50.335,SELL,1.0,1.9320002618064163e-19,1.0,9.78725328396189e-25,True
2025-07-17 02:24:52.210,SELL,1.0,1.3804486370652458e-19,1.0,5.551393655896198e-25,True
2025-07-17 02:25:01.576,SELL,1.0,1.992119877973741e-19,1.0,9.99682601634743e-25,True
2025-07-17 02:25:21.529,SELL,1.0,2.206952253985687e-19,1.0,1.0984141645571024e-24,True
2025-07-17 02:25:38.816,SELL,1.0,2.418718245617505e-19,1.0,1.2124711255004166e-24,True
2025-07-17 02:26:07.071,SELL,1.0,2.258168434081615e-19,1.0,1.1427409490747631e-24,True
2025-07-17 02:26:32.501,SELL,1.0,3.2867313366395056e-19,1.0,1.9802345374569714e-24,True
2025-07-17 02:26:58.532,SELL,1.0,2.8326153842024876e-19,1.0,1.4945257783642474e-24,True
2025-07-17 02:27:39.938,SELL,1.0,3.225374180727619e-19,1.0,1.7214686362370753e-24,True
2025-07-17 02:28:04.515,SELL,1.0,2.0011913351070629e-19,1.0,8.325050292328169e-25,True
2025-07-17 02:28:22.713,SELL,1.0,1.8878504013401935e-19,1.0,7.384876497762518e-25,True
2025-07-17 02:28:36.850,SELL,1.0,2.31471088184056e-19,1.0,1.0882045295065058e-24,True
2025-07-17 02:28:47.257,SELL,1.0,1.991633521622954e-19,1.0,7.892288595294908e-25,True
2025-07-17 02:29:17.043,SELL,1.0,1.4545943929881142e-19,1.0,5.092321968559619e-25,True
2025-07-17 02:29:35.969,SELL,1.0,1.9361392667964785e-19,1.0,7.9498207141507425e-25,True
2025-07-17 02:29:42.075,SELL,1.0,2.2410654409413154e-19,1.0,1.0220318199405596e-24,True
